stage,match_id,team1,team2,scoreline,winner,count,scoreline_pct,matchup_runs,matchup_pct,simulation_runs,simulation_seed
final,M63,Algeria,Argentina,0-2,Argentina,8,16.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-2,Argentina,8,16.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,0-1,Argentina,5,10.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,0-0,Argentina,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,0-3,Argentina,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-0,Algeria,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-3,Argentina,3,6.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-1,Argentina,2,4.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-5,Argentina,2,4.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,2-1,Algeria,2,4.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,2-4,Argentina,2,4.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,0-0,Algeria,1,2.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,0-4,Argentina,1,2.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-1,Algeria,1,2.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,1-4,Argentina,1,2.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,2-2,Argentina,1,2.0,50,0.2,25000,20260605
final,M63,Algeria,Argentina,3-1,Algeria,1,2.0,50,0.2,25000,20260605
final,M63,Algeria,Belgium,0-3,Belgium,2,15.4,13,0.052,25000,20260605
final,M63,Algeria,Belgium,1-1,Belgium,2,15.4,13,0.052,25000,20260605
final,M63,Algeria,Belgium,2-2,Belgium,2,15.4,13,0.052,25000,20260605
final,M63,Algeria,Belgium,0-0,Belgium,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Belgium,0-1,Belgium,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Belgium,0-6,Belgium,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Belgium,1-2,Belgium,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Belgium,1-3,Belgium,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Belgium,2-1,Algeria,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Belgium,3-4,Belgium,1,7.7,13,0.052,25000,20260605
final,M63,Algeria,Costa Rica,1-2,Costa Rica,2,28.6,7,0.028,25000,20260605
final,M63,Algeria,Costa Rica,2-1,Algeria,2,28.6,7,0.028,25000,20260605
final,M63,Algeria,Costa Rica,0-0,Algeria,1,14.3,7,0.028,25000,20260605
final,M63,Algeria,Costa Rica,0-1,Costa Rica,1,14.3,7,0.028,25000,20260605
final,M63,Algeria,Costa Rica,1-4,Costa Rica,1,14.3,7,0.028,25000,20260605
final,M63,Algeria,Greece,1-1,Greece,4,26.7,15,0.060,25000,20260605
final,M63,Algeria,Greece,2-1,Algeria,3,20.0,15,0.060,25000,20260605
final,M63,Algeria,Greece,1-1,Algeria,2,13.3,15,0.060,25000,20260605
final,M63,Algeria,Greece,0-2,Greece,1,6.7,15,0.060,25000,20260605
final,M63,Algeria,Greece,0-4,Greece,1,6.7,15,0.060,25000,20260605
final,M63,Algeria,Greece,1-3,Greece,1,6.7,15,0.060,25000,20260605
final,M63,Algeria,Greece,2-2,Algeria,1,6.7,15,0.060,25000,20260605
final,M63,Algeria,Greece,2-3,Greece,1,6.7,15,0.060,25000,20260605
final,M63,Algeria,Greece,3-1,Algeria,1,6.7,15,0.060,25000,20260605
final,M63,Algeria,Mexico,0-1,Mexico,2,16.7,12,0.048,25000,20260605
final,M63,Algeria,Mexico,1-1,Algeria,2,16.7,12,0.048,25000,20260605
final,M63,Algeria,Mexico,1-2,Mexico,2,16.7,12,0.048,25000,20260605
final,M63,Algeria,Mexico,0-0,Mexico,1,8.3,12,0.048,25000,20260605
final,M63,Algeria,Mexico,0-2,Mexico,1,8.3,12,0.048,25000,20260605
final,M63,Algeria,Mexico,1-0,Algeria,1,8.3,12,0.048,25000,20260605
final,M63,Algeria,Mexico,1-1,Mexico,1,8.3,12,0.048,25000,20260605
final,M63,Algeria,Mexico,2-0,Algeria,1,8.3,12,0.048,25000,20260605
final,M63,Algeria,Mexico,2-1,Algeria,1,8.3,12,0.048,25000,20260605
final,M63,Algeria,Netherlands,0-1,Netherlands,8,16.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,1-2,Netherlands,7,14.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,0-0,Netherlands,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,0-2,Netherlands,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,1-3,Netherlands,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,2-1,Algeria,4,8.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,0-3,Netherlands,3,6.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,1-1,Algeria,3,6.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,1-1,Netherlands,2,4.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,2-0,Algeria,2,4.0,50,0.2,25000,20260605
final,M63,Algeria,Netherlands,2-2,Netherlands,2,4.0,50,0.2,25000,20260605
