stage,date,team1,team2,team1_goals,team2_goals
groups,2006-06-09,Ecuador,Poland,2,0
groups,2006-06-09,Germany,Costa Rica,4,2
groups,2006-06-10,Argentina,Ivory Coast,2,1
groups,2006-06-10,England,Paraguay,1,0
groups,2006-06-10,Sweden,Trinidad and Tobago,0,0
groups,2006-06-11,Mexico,Iran,3,1
groups,2006-06-11,Netherlands,Serbia,1,0
groups,2006-06-11,Portugal,Angola,1,0
groups,2006-06-12,Australia,Japan,3,1
groups,2006-06-12,Czechia,United States,3,0
groups,2006-06-12,Italy,Ghana,2,0
groups,2006-06-13,Brazil,Croatia,1,0
groups,2006-06-13,France,Switzerland,0,0
groups,2006-06-13,South Korea,Togo,2,1
groups,2006-06-14,Germany,Poland,1,0
groups,2006-06-14,Saudi Arabia,Tunisia,2,2
groups,2006-06-14,Spain,Ukraine,4,0
groups,2006-06-15,Ecuador,Costa Rica,3,0
groups,2006-06-15,England,Trinidad and Tobago,2,0
groups,2006-06-15,Sweden,Paraguay,1,0
groups,2006-06-16,Angola,Mexico,0,0
groups,2006-06-16,Argentina,Serbia,6,0
groups,2006-06-16,Netherlands,Ivory Coast,2,1
groups,2006-06-17,Ghana,Czechia,2,0
groups,2006-06-17,Italy,United States,1,1
groups,2006-06-17,Portugal,Iran,2,0
groups,2006-06-18,Brazil,Australia,2,0
groups,2006-06-18,Croatia,Japan,0,0
groups,2006-06-18,France,South Korea,1,1
groups,2006-06-19,Spain,Tunisia,3,1
groups,2006-06-19,Switzerland,Togo,2,0
groups,2006-06-19,Ukraine,Saudi Arabia,4,0
groups,2006-06-20,England,Sweden,2,2
groups,2006-06-20,Germany,Ecuador,3,0
groups,2006-06-20,Paraguay,Trinidad and Tobago,2,0
groups,2006-06-20,Poland,Costa Rica,2,1
groups,2006-06-21,Angola,Iran,1,1
groups,2006-06-21,Argentina,Netherlands,0,0
groups,2006-06-21,Ivory Coast,Serbia,3,2
groups,2006-06-21,Portugal,Mexico,2,1
groups,2006-06-22,Australia,Croatia,2,2
groups,2006-06-22,Brazil,Japan,4,1
groups,2006-06-22,Ghana,United States,2,1
groups,2006-06-22,Italy,Czechia,2,0
groups,2006-06-23,France,Togo,2,0
groups,2006-06-23,Spain,Saudi Arabia,1,0
groups,2006-06-23,Switzerland,South Korea,2,0
groups,2006-06-23,Ukraine,Tunisia,1,0
