stage,date,team1,team2,team1_goals,team2_goals
groups,2022-11-20,Qatar,Ecuador,0,2
groups,2022-11-21,England,Iran,6,2
groups,2022-11-21,Netherlands,Senegal,2,0
groups,2022-11-21,United States,Wales,1,1
groups,2022-11-22,Denmark,Tunisia,0,0
groups,2022-11-22,France,Australia,4,1
groups,2022-11-22,Poland,Mexico,0,0
groups,2022-11-22,Argentina,Saudi Arabia,1,2
groups,2022-11-23,Belgium,Canada,1,0
groups,2022-11-23,Croatia,Morocco,0,0
groups,2022-11-23,Germany,Japan,1,2
groups,2022-11-23,Spain,Costa Rica,7,0
groups,2022-11-24,Brazil,Serbia,2,0
groups,2022-11-24,Portugal,Ghana,3,2
groups,2022-11-24,Uruguay,South Korea,0,0
groups,2022-11-24,Switzerland,Cameroon,1,0
groups,2022-11-25,Netherlands,Ecuador,1,1
groups,2022-11-25,England,United States,0,0
groups,2022-11-25,Iran,Wales,2,0
groups,2022-11-25,Qatar,Senegal,1,3
groups,2022-11-26,Argentina,Mexico,2,0
groups,2022-11-26,Australia,Tunisia,1,0
groups,2022-11-26,Denmark,France,1,2
groups,2022-11-26,Poland,Saudi Arabia,2,0
groups,2022-11-27,Japan,Costa Rica,0,1
groups,2022-11-27,Croatia,Canada,4,1
groups,2022-11-27,Spain,Germany,1,1
groups,2022-11-27,Belgium,Morocco,0,2
groups,2022-11-28,Brazil,Switzerland,1,0
groups,2022-11-28,Serbia,Cameroon,3,3
groups,2022-11-28,South Korea,Ghana,2,3
groups,2022-11-28,Portugal,Uruguay,2,0
groups,2022-11-29,England,Wales,3,0
groups,2022-11-29,Netherlands,Qatar,2,0
groups,2022-11-29,Ecuador,Senegal,1,2
groups,2022-11-29,Iran,United States,0,1
groups,2022-11-30,Argentina,Poland,2,0
groups,2022-11-30,Denmark,Australia,0,1
groups,2022-11-30,Mexico,Saudi Arabia,2,1
groups,2022-11-30,France,Tunisia,0,1
groups,2022-12-01,Belgium,Croatia,0,0
groups,2022-12-01,Germany,Costa Rica,4,2
groups,2022-12-01,Spain,Japan,1,2
groups,2022-12-01,Morocco,Canada,2,1
groups,2022-12-02,Brazil,Cameroon,0,1
groups,2022-12-02,Portugal,South Korea,1,2
groups,2022-12-02,Serbia,Switzerland,2,3
groups,2022-12-02,Uruguay,Ghana,2,0
