round,group,match_id,team1,team2,winner,home_score,away_score,penalties
groups,A,A1,Brazil,Mexico,Draw,0,0,
groups,A,A2,Brazil,Croatia,Brazil,3,1,
groups,A,A3,Brazil,Cameroon,Brazil,4,1,
groups,A,A4,Mexico,Croatia,Mexico,3,1,
groups,A,A5,Mexico,Cameroon,Mexico,1,0,
groups,A,A6,Croatia,Cameroon,Croatia,4,0,
groups,B,B1,Spain,Netherlands,Netherlands,1,5,
groups,B,B2,Spain,Chile,Chile,0,2,
groups,B,B3,Spain,Australia,Spain,3,0,
groups,B,B4,Netherlands,Chile,Netherlands,2,0,
groups,B,B5,Netherlands,Australia,Netherlands,3,2,
groups,B,B6,Chile,Australia,Chile,3,1,
groups,C,C1,Colombia,Japan,Colombia,4,1,
groups,C,C2,Colombia,Greece,Colombia,3,0,
groups,C,C3,Colombia,Ivory Coast,Colombia,2,1,
groups,C,C4,Japan,Greece,Draw,0,0,
groups,C,C5,Japan,Ivory Coast,Ivory Coast,1,2,
groups,C,C6,Greece,Ivory Coast,Greece,2,1,
groups,D,D1,England,Uruguay,Uruguay,1,2,
groups,D,D2,England,Italy,Italy,1,2,
groups,D,D3,England,Costa Rica,Draw,0,0,
groups,D,D4,Uruguay,Italy,Uruguay,1,0,
groups,D,D5,Uruguay,Costa Rica,Costa Rica,1,3,
groups,D,D6,Italy,Costa Rica,Costa Rica,0,1,
groups,E,E1,France,Switzerland,France,5,2,
groups,E,E2,France,Ecuador,Draw,0,0,
groups,E,E3,France,Honduras,France,3,0,
groups,E,E4,Switzerland,Ecuador,Switzerland,2,1,
groups,E,E5,Switzerland,Honduras,Switzerland,3,0,
groups,E,E6,Ecuador,Honduras,Ecuador,2,1,
groups,F,F1,Argentina,Bosnia and Herzegovina,Argentina,2,1,
groups,F,F2,Argentina,Nigeria,Argentina,3,2,
groups,F,F3,Argentina,Iran,Argentina,1,0,
groups,F,F4,Bosnia and Herzegovina,Nigeria,Nigeria,0,1,
groups,F,F5,Bosnia and Herzegovina,Iran,Bosnia and Herzegovina,3,1,
groups,F,F6,Nigeria,Iran,Draw,0,0,
groups,G,G1,Germany,Portugal,Germany,4,0,
groups,G,G2,Germany,United States,Germany,1,0,
groups,G,G3,Germany,Ghana,Draw,2,2,
groups,G,G4,Portugal,United States,Draw,2,2,
groups,G,G5,Portugal,Ghana,Portugal,2,1,
groups,G,G6,United States,Ghana,United States,2,1,
groups,H,H1,Belgium,Russia,Belgium,1,0,
groups,H,H2,Belgium,Algeria,Belgium,2,1,
groups,H,H3,Belgium,South Korea,Belgium,1,0,
groups,H,H4,Russia,Algeria,Draw,1,1,
groups,H,H5,Russia,South Korea,Draw,1,1,
groups,H,H6,Algeria,South Korea,Algeria,4,2,
