stage,date,team1,team2,team1_goals,team2_goals
groups,2018-06-14,Russia,Saudi Arabia,5,0
groups,2018-06-15,Iran,Morocco,1,0
groups,2018-06-15,Spain,Portugal,3,3
groups,2018-06-15,Uruguay,Egypt,1,0
groups,2018-06-16,Argentina,Iceland,1,1
groups,2018-06-16,Croatia,Nigeria,2,0
groups,2018-06-16,Peru,Denmark,0,1
groups,2018-06-16,France,Australia,2,1
groups,2018-06-17,Brazil,Switzerland,1,1
groups,2018-06-17,Germany,Mexico,0,1
groups,2018-06-17,Serbia,Costa Rica,1,0
groups,2018-06-18,Belgium,Panama,3,0
groups,2018-06-18,England,Tunisia,2,1
groups,2018-06-18,Sweden,South Korea,1,0
groups,2018-06-19,Colombia,Japan,1,2
groups,2018-06-19,Russia,Egypt,3,1
groups,2018-06-19,Poland,Senegal,1,2
groups,2018-06-20,Portugal,Morocco,1,0
groups,2018-06-20,Spain,Iran,1,0
groups,2018-06-20,Uruguay,Saudi Arabia,1,0
groups,2018-06-21,Denmark,Australia,1,1
groups,2018-06-21,Argentina,Croatia,0,3
groups,2018-06-21,France,Peru,1,0
groups,2018-06-22,Brazil,Costa Rica,2,0
groups,2018-06-22,Iceland,Nigeria,0,2
groups,2018-06-22,Switzerland,Serbia,2,1
groups,2018-06-23,Belgium,Tunisia,5,2
groups,2018-06-23,Germany,Sweden,2,1
groups,2018-06-23,Mexico,South Korea,2,1
groups,2018-06-24,Colombia,Poland,3,0
groups,2018-06-24,England,Panama,6,1
groups,2018-06-24,Senegal,Japan,2,2
groups,2018-06-25,Spain,Morocco,2,2
groups,2018-06-25,Portugal,Iran,1,1
groups,2018-06-25,Uruguay,Russia,3,0
groups,2018-06-25,Saudi Arabia,Egypt,2,1
groups,2018-06-26,Argentina,Nigeria,2,1
groups,2018-06-26,Croatia,Iceland,2,1
groups,2018-06-26,France,Denmark,0,0
groups,2018-06-26,Peru,Australia,2,0
groups,2018-06-27,Brazil,Serbia,2,0
groups,2018-06-27,Switzerland,Costa Rica,2,2
groups,2018-06-27,Germany,South Korea,0,2
groups,2018-06-27,Mexico,Sweden,0,3
groups,2018-06-28,Belgium,England,1,0
groups,2018-06-28,Colombia,Senegal,1,0
groups,2018-06-28,Poland,Japan,1,0
groups,2018-06-28,Tunisia,Panama,2,1
