group,team,position,finish
A,Germany,1,quarter_final
A,Switzerland,2,quarter_final
A,Hungary,3,group_stage
A,Scotland,4,group_stage
B,Spain,1,champion
B,Italy,2,last_16
B,Croatia,3,group_stage
B,Albania,4,group_stage
C,England,1,runner_up
C,Denmark,2,last_16
C,Slovenia,3,last_16
C,Serbia,4,group_stage
D,Austria,1,last_16
D,France,2,semi_final
D,Netherlands,3,semi_final
D,Poland,4,group_stage
E,Romania,1,last_16
E,Belgium,2,last_16
E,Slovakia,3,last_16
E,Ukraine,4,group_stage
F,Portugal,1,quarter_final
F,Turkey,2,quarter_final
F,Georgia,3,last_16
F,Czechia,4,group_stage
