stage,match_id,team1,team2,scoreline,winner,count,scoreline_pct,matchup_runs,matchup_pct,simulation_runs,simulation_seed
final,M63,Argentina,England,1-0,Argentina,185,13.7,1355,5.4,25000,20260605
final,M63,Argentina,England,1-1,Argentina,126,9.3,1355,5.4,25000,20260605
final,M63,Argentina,England,2-0,Argentina,125,9.2,1355,5.4,25000,20260605
final,M63,Argentina,England,2-1,Argentina,123,9.1,1355,5.4,25000,20260605
final,M63,Argentina,England,0-1,England,109,8.0,1355,5.4,25000,20260605
final,M63,Argentina,England,0-0,Argentina,87,6.4,1355,5.4,25000,20260605
final,M63,Argentina,England,3-0,Argentina,75,5.5,1355,5.4,25000,20260605
final,M63,Argentina,England,3-1,Argentina,71,5.2,1355,5.4,25000,20260605
final,M63,Argentina,England,1-2,England,69,5.1,1355,5.4,25000,20260605
final,M63,Argentina,England,0-2,England,58,4.3,1355,5.4,25000,20260605
final,M63,Argentina,England,2-2,Argentina,42,3.1,1355,5.4,25000,20260605
final,M63,Argentina,England,4-0,Argentina,32,2.4,1355,5.4,25000,20260605
final,M63,Argentina,England,3-2,Argentina,30,2.2,1355,5.4,25000,20260605
final,M63,Argentina,England,1-1,England,28,2.1,1355,5.4,25000,20260605
final,M63,Argentina,England,0-0,England,27,2.0,1355,5.4,25000,20260605
final,M63,Argentina,England,1-3,England,25,1.8,1355,5.4,25000,20260605
final,M63,Argentina,England,4-1,Argentina,20,1.5,1355,5.4,25000,20260605
final,M63,Argentina,England,2-2,England,17,1.3,1355,5.4,25000,20260605
final,M63,Argentina,England,0-3,England,16,1.2,1355,5.4,25000,20260605
final,M63,Argentina,England,2-3,England,16,1.2,1355,5.4,25000,20260605
final,M63,Argentina,England,4-2,Argentina,13,1.0,1355,5.4,25000,20260605
final,M63,Argentina,England,5-0,Argentina,8,0.6,1355,5.4,25000,20260605
final,M63,Argentina,England,3-3,Argentina,7,0.5,1355,5.4,25000,20260605
final,M63,Argentina,England,1-4,England,6,0.4,1355,5.4,25000,20260605
final,M63,Argentina,England,0-4,England,5,0.4,1355,5.4,25000,20260605
final,M63,Argentina,England,2-4,England,5,0.4,1355,5.4,25000,20260605
final,M63,Argentina,England,5-1,Argentina,5,0.4,1355,5.4,25000,20260605
final,M63,Argentina,England,4-3,Argentina,4,0.3,1355,5.4,25000,20260605
final,M63,Argentina,England,5-2,Argentina,4,0.3,1355,5.4,25000,20260605
final,M63,Argentina,England,3-3,England,3,0.2,1355,5.4,25000,20260605
final,M63,Argentina,England,1-5,England,2,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,6-0,Argentina,2,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,0-5,England,1,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,0-6,England,1,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,2-5,England,1,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,3-4,England,1,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,3-5,England,1,0.1,1355,5.4,25000,20260605
final,M63,Argentina,England,4-4,Argentina,1,0.1,1355,5.4,25000,20260605
