stage,match_id,team1,team2,scoreline,winner,count,scoreline_pct,matchup_runs,matchup_pct,simulation_runs,simulation_seed
final,M63,Argentina,England,1-0,Argentina,655,12.9,5087,6.8,75000,20260605
final,M63,Argentina,England,2-0,Argentina,492,9.7,5087,6.8,75000,20260605
final,M63,Argentina,England,1-1,Argentina,464,9.1,5087,6.8,75000,20260605
final,M63,Argentina,England,2-1,Argentina,451,8.9,5087,6.8,75000,20260605
final,M63,Argentina,England,0-1,England,426,8.4,5087,6.8,75000,20260605
final,M63,Argentina,England,0-0,Argentina,348,6.8,5087,6.8,75000,20260605
final,M63,Argentina,England,1-2,England,316,6.2,5087,6.8,75000,20260605
final,M63,Argentina,England,3-0,Argentina,215,4.2,5087,6.8,75000,20260605
final,M63,Argentina,England,3-1,Argentina,213,4.2,5087,6.8,75000,20260605
final,M63,Argentina,England,0-2,England,210,4.1,5087,6.8,75000,20260605
final,M63,Argentina,England,1-1,England,166,3.3,5087,6.8,75000,20260605
final,M63,Argentina,England,2-2,Argentina,163,3.2,5087,6.8,75000,20260605
final,M63,Argentina,England,3-2,Argentina,122,2.4,5087,6.8,75000,20260605
final,M63,Argentina,England,0-0,England,106,2.1,5087,6.8,75000,20260605
final,M63,Argentina,England,1-3,England,101,2.0,5087,6.8,75000,20260605
final,M63,Argentina,England,4-1,Argentina,86,1.7,5087,6.8,75000,20260605
final,M63,Argentina,England,4-0,Argentina,84,1.7,5087,6.8,75000,20260605
final,M63,Argentina,England,2-3,England,79,1.6,5087,6.8,75000,20260605
final,M63,Argentina,England,0-3,England,68,1.3,5087,6.8,75000,20260605
final,M63,Argentina,England,2-2,England,47,0.9,5087,6.8,75000,20260605
final,M63,Argentina,England,4-2,Argentina,45,0.9,5087,6.8,75000,20260605
final,M63,Argentina,England,5-0,Argentina,29,0.6,5087,6.8,75000,20260605
final,M63,Argentina,England,1-4,England,26,0.5,5087,6.8,75000,20260605
final,M63,Argentina,England,2-4,England,23,0.5,5087,6.8,75000,20260605
final,M63,Argentina,England,5-1,Argentina,20,0.4,5087,6.8,75000,20260605
final,M63,Argentina,England,3-3,Argentina,17,0.3,5087,6.8,75000,20260605
final,M63,Argentina,England,0-4,England,16,0.3,5087,6.8,75000,20260605
final,M63,Argentina,England,5-2,Argentina,16,0.3,5087,6.8,75000,20260605
final,M63,Argentina,England,3-3,England,15,0.3,5087,6.8,75000,20260605
final,M63,Argentina,England,4-3,Argentina,15,0.3,5087,6.8,75000,20260605
final,M63,Argentina,England,3-4,England,9,0.2,5087,6.8,75000,20260605
final,M63,Argentina,England,6-0,Argentina,7,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,1-5,England,6,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,2-5,England,5,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,0-5,England,4,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,5-3,Argentina,4,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,6-2,Argentina,4,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,4-4,Argentina,3,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,6-1,Argentina,3,0.1,5087,6.8,75000,20260605
final,M63,Argentina,England,1-6,England,2,0.0,5087,6.8,75000,20260605
final,M63,Argentina,England,2-6,England,1,0.0,5087,6.8,75000,20260605
final,M63,Argentina,England,4-4,England,1,0.0,5087,6.8,75000,20260605
final,M63,Argentina,England,4-6,England,1,0.0,5087,6.8,75000,20260605
final,M63,Argentina,England,5-4,Argentina,1,0.0,5087,6.8,75000,20260605
final,M63,Argentina,England,7-0,Argentina,1,0.0,5087,6.8,75000,20260605
final,M63,Argentina,England,7-2,Argentina,1,0.0,5087,6.8,75000,20260605
final,M63,Argentina,France,1-0,Argentina,746,12.7,5885,7.8,75000,20260605
final,M63,Argentina,France,2-0,Argentina,545,9.3,5885,7.8,75000,20260605
final,M63,Argentina,France,2-1,Argentina,539,9.2,5885,7.8,75000,20260605
final,M63,Argentina,France,0-1,France,515,8.8,5885,7.8,75000,20260605
final,M63,Argentina,France,1-1,Argentina,507,8.6,5885,7.8,75000,20260605
final,M63,Argentina,France,1-2,France,383,6.5,5885,7.8,75000,20260605
final,M63,Argentina,France,0-0,Argentina,367,6.2,5885,7.8,75000,20260605
final,M63,Argentina,France,0-2,France,281,4.8,5885,7.8,75000,20260605
final,M63,Argentina,France,3-0,Argentina,256,4.4,5885,7.8,75000,20260605
final,M63,Argentina,France,3-1,Argentina,228,3.9,5885,7.8,75000,20260605
final,M63,Argentina,France,1-1,France,200,3.4,5885,7.8,75000,20260605
final,M63,Argentina,France,2-2,Argentina,177,3.0,5885,7.8,75000,20260605
final,M63,Argentina,France,0-0,France,142,2.4,5885,7.8,75000,20260605
final,M63,Argentina,France,3-2,Argentina,133,2.3,5885,7.8,75000,20260605
final,M63,Argentina,France,1-3,France,121,2.1,5885,7.8,75000,20260605
final,M63,Argentina,France,4-0,Argentina,103,1.8,5885,7.8,75000,20260605
final,M63,Argentina,France,2-3,France,87,1.5,5885,7.8,75000,20260605
final,M63,Argentina,France,4-1,Argentina,87,1.5,5885,7.8,75000,20260605
final,M63,Argentina,France,0-3,France,83,1.4,5885,7.8,75000,20260605
final,M63,Argentina,France,2-2,France,74,1.3,5885,7.8,75000,20260605
final,M63,Argentina,France,4-2,Argentina,45,0.8,5885,7.8,75000,20260605
