team,reach_last_16,reach_last_8,reach_last_4,reach_final,champion,predicted_finish,predicted_finish_pct,best_realistic_finish,best_realistic_pct,simulation_runs,simulation_seed
Argentina,100.0,100.0,100.0,75.3,54.4,Champion,54.4,Champion,54.4,100000,20260605
France,100.0,100.0,100.0,71.6,29.0,Runner-up,42.7,Champion,29.0,100000,20260605
Croatia,100.0,100.0,100.0,24.7,10.6,Exit SF,75.3,Champion,10.6,100000,20260605
Morocco,100.0,100.0,100.0,28.4,6.0,Exit SF,71.6,Champion,6.0,100000,20260605
