stage,date,team1,team2,team1_goals,team2_goals
groups,2014-06-12,Brazil,Croatia,3,1
groups,2014-06-13,Chile,Australia,3,1
groups,2014-06-13,Mexico,Cameroon,1,0
groups,2014-06-13,Netherlands,Spain,5,1
groups,2014-06-14,Colombia,Greece,3,0
groups,2014-06-14,Costa Rica,Uruguay,3,1
groups,2014-06-14,Italy,England,2,1
groups,2014-06-14,Ivory Coast,Japan,2,1
groups,2014-06-15,Argentina,Bosnia and Herzegovina,2,1
groups,2014-06-15,France,Honduras,3,0
groups,2014-06-15,Switzerland,Ecuador,2,1
groups,2014-06-16,Germany,Portugal,4,0
groups,2014-06-16,Iran,Nigeria,0,0
groups,2014-06-16,United States,Ghana,2,1
groups,2014-06-17,Belgium,Algeria,2,1
groups,2014-06-17,Brazil,Mexico,0,0
groups,2014-06-17,Russia,South Korea,1,1
groups,2014-06-18,Chile,Spain,2,0
groups,2014-06-18,Croatia,Cameroon,4,0
groups,2014-06-18,Netherlands,Australia,3,2
groups,2014-06-19,Colombia,Ivory Coast,2,1
groups,2014-06-19,Greece,Japan,0,0
groups,2014-06-19,Uruguay,England,2,1
groups,2014-06-20,Costa Rica,Italy,1,0
groups,2014-06-20,Ecuador,Honduras,2,1
groups,2014-06-20,France,Switzerland,5,2
groups,2014-06-21,Argentina,Iran,1,0
groups,2014-06-21,Germany,Ghana,2,2
groups,2014-06-21,Nigeria,Bosnia and Herzegovina,1,0
groups,2014-06-22,Algeria,South Korea,4,2
groups,2014-06-22,Belgium,Russia,1,0
groups,2014-06-22,Portugal,United States,2,2
groups,2014-06-23,Brazil,Cameroon,4,1
groups,2014-06-23,Mexico,Croatia,3,1
groups,2014-06-23,Netherlands,Chile,2,0
groups,2014-06-23,Spain,Australia,3,0
groups,2014-06-24,Colombia,Japan,4,1
groups,2014-06-24,Costa Rica,England,0,0
groups,2014-06-24,Greece,Ivory Coast,2,1
groups,2014-06-24,Uruguay,Italy,1,0
groups,2014-06-25,Argentina,Nigeria,3,2
groups,2014-06-25,Bosnia and Herzegovina,Iran,3,1
groups,2014-06-25,Ecuador,France,0,0
groups,2014-06-25,Switzerland,Honduras,3,0
groups,2014-06-26,Algeria,Russia,1,1
groups,2014-06-26,Belgium,South Korea,1,0
groups,2014-06-26,Germany,United States,1,0
groups,2014-06-26,Portugal,Ghana,2,1
