match_id,team1,team2,path,prediction,team1_base_elo,team1_qual_bonus,team2_base_elo,team2_qual_bonus,team1_path_fatigue,team2_path_fatigue,team1_path_opponent,team2_path_opponent
M89,W77(I1(France)),W74(E1(Germany)),predicted,France (69%),2081,73,1925,69,74,27,G|Norway:-5 > G|Senegal:-4 > Egypt:0,G|Ecuador:-3 > Australia:0
M89,W77(I1(France)),W74(ABCDF3(Australia)),alt,France (91%),2081,73,1774,58,74,124,G|Norway:-5 > G|Senegal:-4 > Egypt:0,G|Turkey:-4 > Germany:-11
M89,W77(I1(France)),W74(E1(Ecuador)),alt,France (77%),2081,73,1935,18,74,44,G|Norway:-5 > G|Senegal:-4 > Egypt:0,G|Germany:-5 > South Korea:0
M89,W77(CDFGH3(Egypt)),W74(E1(Germany)),alt,Germany (83%),1699,68,1925,69,185,27,G|Belgium:-3 > France:-19,G|Ecuador:-3 > Australia:0
M89,W77(CDFGH3(Egypt)),W74(ABCDF3(Australia)),alt,Australia (51%),1699,68,1774,58,185,124,G|Belgium:-3 > France:-19,G|Turkey:-4 > Germany:-11
M89,W77(CDFGH3(Egypt)),W74(E1(Ecuador)),alt,Ecuador (76%),1699,68,1935,18,185,44,G|Belgium:-3 > France:-19,G|Germany:-5 > South Korea:0
M89,W77(I1(Norway)),W74(E1(Germany)),alt,Germany (53%),1917,92,1925,69,168,27,G|France:-10 > G|Senegal:-4 > Ecuador:-7,G|Ecuador:-3 > Australia:0
M89,W77(I1(Norway)),W74(ABCDF3(Australia)),alt,Norway (80%),1917,92,1774,58,168,124,G|France:-10 > G|Senegal:-4 > Ecuador:-7,G|Turkey:-4 > Germany:-11
M89,W77(I1(Norway)),W74(E1(Ecuador)),alt,Norway (57%),1917,92,1935,18,168,44,G|France:-10 > G|Senegal:-4 > Ecuador:-7,G|Germany:-5 > South Korea:0

M90,W75(F1(Netherlands)),W73(B2(Canada)),predicted,Netherlands (64%),1961,73,1793,0,71,21,G|Japan:-4 > Morocco:-4,G|Switzerland:-3 > South Korea:0
M90,W75(F1(Netherlands)),W73(A2(South Korea)),alt,Netherlands (72%),1961,73,1756,62,71,43,G|Japan:-4 > Morocco:-4,G|Mexico:-3 > Canada:-2
M90,W75(F1(Netherlands)),W73(A2(Mexico)),alt,Netherlands (53%),1961,73,1867,0,71,0,G|Japan:-4 > Morocco:-4,Ivory Coast:0
M90,W75(F1(Netherlands)),W73(B2(Switzerland)),alt,Netherlands (57%),1961,73,1894,60,71,8,G|Japan:-4 > Morocco:-4,G|Canada:-1 > Algeria:0
M90,W75(F1(Netherlands)),W73(A2(Czechia)),alt,Netherlands (80%),1961,73,1733,25,71,69,G|Japan:-4 > Morocco:-4,G|Mexico:-3 > Switzerland:-5
M90,W75(C2(Morocco)),W73(A2(South Korea)),alt,Morocco (64%),1822,88,1756,62,97,43,G|Brazil:-3 > Netherlands:-8,G|Mexico:-3 > Canada:-2
M90,W75(C2(Morocco)),W73(B2(Canada)),alt,Morocco (55%),1822,88,1793,0,97,21,G|Brazil:-3 > Netherlands:-8,G|Switzerland:-3 > South Korea:0
M90,W75(C2(Morocco)),W73(A2(Mexico)),alt,Mexico (56%),1822,88,1867,0,97,0,G|Brazil:-3 > Netherlands:-8,Ivory Coast:0
M90,W75(C2(Morocco)),W73(B2(Switzerland)),alt,Switzerland (53%),1822,88,1894,60,97,8,G|Brazil:-3 > Netherlands:-8,G|Canada:-1 > Algeria:0
M90,W75(C2(Morocco)),W73(A2(Czechia)),alt,Morocco (73%),1822,88,1733,25,97,69,G|Brazil:-3 > Netherlands:-8,G|Mexico:-3 > Switzerland:-5
M90,W75(C2(Brazil)),W73(A2(South Korea)),alt,Brazil (68%),1988,7,1756,62,88,43,G|Morocco:-2 > Netherlands:-8,G|Mexico:-3 > Canada:-2
M90,W75(C2(Brazil)),W73(B2(Canada)),alt,Brazil (60%),1988,7,1793,0,88,21,G|Morocco:-2 > Netherlands:-8,G|Switzerland:-3 > South Korea:0
M90,W75(C2(Brazil)),W73(A2(Mexico)),alt,Mexico (51%),1988,7,1867,0,88,0,G|Morocco:-2 > Netherlands:-8,Ivory Coast:0
M90,W75(C2(Brazil)),W73(B2(Switzerland)),alt,Brazil (52%),1988,7,1894,60,88,8,G|Morocco:-2 > Netherlands:-8,G|Canada:-1 > Algeria:0
M90,W75(C2(Brazil)),W73(A2(Czechia)),alt,Brazil (77%),1988,7,1733,25,88,69,G|Morocco:-2 > Netherlands:-8,G|Mexico:-3 > Switzerland:-5
M90,W75(F1(Japan)),W73(A2(South Korea)),alt,Japan (72%),1906,79,1756,62,88,43,G|Netherlands:-4 > Brazil:-6,G|Mexico:-3 > Canada:-2
M90,W75(F1(Japan)),W73(B2(Canada)),alt,Japan (63%),1906,79,1793,0,88,21,G|Netherlands:-4 > Brazil:-6,G|Switzerland:-3 > South Korea:0
M90,W75(F1(Japan)),W73(A2(Mexico)),alt,Japan (53%),1906,79,1867,0,88,0,G|Netherlands:-4 > Brazil:-6,Ivory Coast:0
M90,W75(F1(Japan)),W73(B2(Switzerland)),alt,Japan (56%),1906,79,1894,60,88,8,G|Netherlands:-4 > Brazil:-6,G|Canada:-1 > Algeria:0
M90,W75(F1(Japan)),W73(A2(Czechia)),alt,Japan (80%),1906,79,1733,25,88,69,G|Netherlands:-4 > Brazil:-6,G|Mexico:-3 > Switzerland:-5

M91,W76(F2(Japan)),W78(I2(Norway)),predicted,Norway (54%),1906,79,1917,92,88,168,G|Netherlands:-4 > Brazil:-6,G|France:-10 > G|Senegal:-4 > Ecuador:-7
M91,W76(C1(Brazil)),W78(E2(Ecuador)),alt,Ecuador (51%),1988,7,1935,18,88,44,G|Morocco:-2 > Netherlands:-8,G|Germany:-5 > South Korea:0
M91,W76(C1(Brazil)),W78(I2(Norway)),alt,Norway (58%),1988,7,1917,92,88,168,G|Morocco:-2 > Netherlands:-8,G|France:-10 > G|Senegal:-4 > Ecuador:-7
M91,W76(C1(Brazil)),W78(E2(Germany)),alt,Germany (61%),1988,7,1925,69,88,27,G|Morocco:-2 > Netherlands:-8,G|Ecuador:-3 > Australia:0
M91,W76(C1(Brazil)),W78(I2(France)),alt,France (78%),1988,7,2081,73,88,74,G|Morocco:-2 > Netherlands:-8,G|Norway:-5 > G|Senegal:-4 > Egypt:0
M91,W76(C1(Brazil)),W78(I2(Senegal)),alt,Senegal (51%),1988,7,1867,58,88,212,G|Morocco:-2 > Netherlands:-8,G|France:-10 > G|Norway:-5 > Germany:-11
M91,W76(F2(Japan)),W78(E2(Ecuador)),alt,Japan (53%),1906,79,1935,18,88,44,G|Netherlands:-4 > Brazil:-6,G|Germany:-5 > South Korea:0
M91,W76(F2(Japan)),W78(E2(Germany)),alt,Germany (57%),1906,79,1925,69,88,27,G|Netherlands:-4 > Brazil:-6,G|Ecuador:-3 > Australia:0
M91,W76(F2(Japan)),W78(I2(France)),alt,France (75%),1906,79,2081,73,88,74,G|Netherlands:-4 > Brazil:-6,G|Norway:-5 > G|Senegal:-4 > Egypt:0
M91,W76(F2(Japan)),W78(I2(Senegal)),alt,Japan (53%),1906,79,1867,58,88,212,G|Netherlands:-4 > Brazil:-6,G|France:-10 > G|Norway:-5 > Germany:-11
M91,W76(F2(Netherlands)),W78(E2(Ecuador)),alt,Netherlands (54%),1961,73,1935,18,71,44,G|Japan:-4 > Morocco:-4,G|Germany:-5 > South Korea:0
M91,W76(F2(Netherlands)),W78(I2(Norway)),alt,Norway (53%),1961,73,1917,92,71,168,G|Japan:-4 > Morocco:-4,G|France:-10 > G|Senegal:-4 > Ecuador:-7
M91,W76(F2(Netherlands)),W78(E2(Germany)),alt,Germany (56%),1961,73,1925,69,71,27,G|Japan:-4 > Morocco:-4,G|Ecuador:-3 > Australia:0
M91,W76(F2(Netherlands)),W78(I2(France)),alt,France (74%),1961,73,2081,73,71,74,G|Japan:-4 > Morocco:-4,G|Norway:-5 > G|Senegal:-4 > Egypt:0
M91,W76(F2(Netherlands)),W78(I2(Senegal)),alt,Netherlands (54%),1961,73,1867,58,71,212,G|Japan:-4 > Morocco:-4,G|France:-10 > G|Norway:-5 > Germany:-11
M91,W76(C1(Morocco)),W78(E2(Ecuador)),alt,Ecuador (56%),1822,88,1935,18,97,44,G|Brazil:-3 > Netherlands:-8,G|Germany:-5 > South Korea:0
M91,W76(C1(Morocco)),W78(I2(Norway)),alt,Norway (62%),1822,88,1917,92,97,168,G|Brazil:-3 > Netherlands:-8,G|France:-10 > G|Senegal:-4 > Ecuador:-7
M91,W76(C1(Morocco)),W78(E2(Germany)),alt,Germany (65%),1822,88,1925,69,97,27,G|Brazil:-3 > Netherlands:-8,G|Ecuador:-3 > Australia:0
M91,W76(C1(Morocco)),W78(I2(France)),alt,France (81%),1822,88,2081,73,97,74,G|Brazil:-3 > Netherlands:-8,G|Norway:-5 > G|Senegal:-4 > Egypt:0
M91,W76(C1(Morocco)),W78(I2(Senegal)),alt,Senegal (56%),1822,88,1867,58,97,212,G|Brazil:-3 > Netherlands:-8,G|France:-10 > G|Norway:-5 > Germany:-11

M92,W80(L1(England)),W79(A1(Mexico)),predicted,England (63%),2020,97,1867,0,19,0,G|Croatia:-2 > DR Congo:0,Ivory Coast:0
M92,W80(L1(England)),W79(CEFHI3(Ivory Coast)),alt,England (86%),2020,97,1676,58,19,125,G|Croatia:-2 > DR Congo:0,G|Germany:-5 > G|Ecuador:-3 > Mexico:-6
M92,W80(L1(England)),W79(A1(South Korea)),alt,England (80%),2020,97,1756,62,19,43,G|Croatia:-2 > DR Congo:0,G|Mexico:-3 > Canada:-2
M92,W80(EHIJK3(DR Congo)),W79(A1(Mexico)),alt,Mexico (81%),1655,41,1867,0,184,0,G|Portugal:-6 > G|Colombia:-4 > England:-12,Ivory Coast:0
M92,W80(EHIJK3(DR Congo)),W79(CEFHI3(Ivory Coast)),alt,Ivory Coast (54%),1655,41,1676,58,184,125,G|Portugal:-6 > G|Colombia:-4 > England:-12,G|Germany:-5 > G|Ecuador:-3 > Mexico:-6
M92,W80(EHIJK3(DR Congo)),W79(A1(South Korea)),alt,South Korea (64%),1655,41,1756,62,184,43,G|Portugal:-6 > G|Colombia:-4 > England:-12,G|Mexico:-3 > Canada:-2
M92,W80(L1(Croatia)),W79(A1(Mexico)),alt,Mexico (55%),1908,83,1867,0,51,0,G|England:-6 > Ivory Coast:0,Ivory Coast:0
M92,W80(L1(Croatia)),W79(CEFHI3(Ivory Coast)),alt,Croatia (74%),1908,83,1676,58,51,125,G|England:-6 > Ivory Coast:0,G|Germany:-5 > G|Ecuador:-3 > Mexico:-6
M92,W80(L1(Croatia)),W79(A1(South Korea)),alt,Croatia (65%),1908,83,1756,62,51,43,G|England:-6 > Ivory Coast:0,G|Mexico:-3 > Canada:-2

M93,W84(H1(Spain)),W83(K2(Colombia)),predicted,Spain (83%),2165,82,1977,10,44,89,Austria:-5,G|Portugal:-6 > Croatia:-5
M93,W84(H1(Spain)),W83(L2(Croatia)),alt,Spain (86%),2165,82,1908,83,44,51,Austria:-5,G|England:-6 > Ivory Coast:0
M93,W84(H1(Spain)),W83(K2(Portugal)),alt,Spain (74%),2165,82,1984,51,44,31,Austria:-5,G|Colombia:-4 > Panama:0
M93,W84(H1(Spain)),W83(L2(England)),alt,Spain (74%),2165,82,2020,97,44,19,Austria:-5,G|Croatia:-2 > DR Congo:0
M93,W84(H1(Spain)),W83(L2(Panama)),alt,Spain (94%),2165,82,1733,55,44,172,Austria:-5,G|England:-6 > G|Croatia:-2 > Portugal:-12
M93,W84(J2(Austria)),W83(K2(Colombia)),alt,Colombia (56%),1830,65,1977,10,187,89,G|Argentina:-10 > England:-12,G|Portugal:-6 > Croatia:-5
M93,W84(J2(Austria)),W83(L2(Croatia)),alt,Croatia (50%),1830,65,1908,83,187,51,G|Argentina:-10 > England:-12,G|England:-6 > Ivory Coast:0
M93,W84(J2(Austria)),W83(K2(Portugal)),alt,Portugal (68%),1830,65,1984,51,187,31,G|Argentina:-10 > England:-12,G|Colombia:-4 > Panama:0
M93,W84(J2(Austria)),W83(L2(England)),alt,England (68%),1830,65,2020,97,187,19,G|Argentina:-10 > England:-12,G|Croatia:-2 > DR Congo:0
M93,W84(J2(Austria)),W83(L2(Panama)),alt,Austria (73%),1830,65,1733,55,187,172,G|Argentina:-10 > England:-12,G|England:-6 > G|Croatia:-2 > Portugal:-12
M93,W84(J2(Algeria)),W83(K2(Colombia)),alt,Colombia (76%),1743,64,1977,10,209,89,G|Argentina:-10 > G|Austria:-3 > England:-12,G|Portugal:-6 > Croatia:-5
M93,W84(J2(Algeria)),W83(L2(Croatia)),alt,Croatia (72%),1743,64,1908,83,209,51,G|Argentina:-10 > G|Austria:-3 > England:-12,G|England:-6 > Ivory Coast:0
M93,W84(J2(Algeria)),W83(K2(Portugal)),alt,Portugal (84%),1743,64,1984,51,209,31,G|Argentina:-10 > G|Austria:-3 > England:-12,G|Colombia:-4 > Panama:0
M93,W84(J2(Algeria)),W83(L2(England)),alt,England (84%),1743,64,2020,97,209,19,G|Argentina:-10 > G|Austria:-3 > England:-12,G|Croatia:-2 > DR Congo:0
M93,W84(J2(Algeria)),W83(L2(Panama)),alt,Algeria (52%),1743,64,1733,55,209,172,G|Argentina:-10 > G|Austria:-3 > England:-12,G|England:-6 > G|Croatia:-2 > Portugal:-12

M94,W81(D1(Turkey)),W82(G1(Belgium)),predicted,Turkey (56%),1906,47,1888,58,64,0,Senegal:-8,Czechia:0
M94,W81(D1(Turkey)),W82(AEHIJ3(Czechia)),alt,Turkey (80%),1906,47,1733,25,64,69,Senegal:-8,G|Mexico:-3 > Switzerland:-5
M94,W81(D1(Turkey)),W82(G1(Iran)),alt,Turkey (76%),1906,47,1764,52,64,185,Senegal:-8,G|Belgium:-3 > France:-19
M94,W81(BEFIJ3(Senegal)),W82(G1(Belgium)),alt,Senegal (52%),1867,58,1888,58,212,0,G|France:-10 > G|Norway:-5 > Germany:-11,Czechia:0
M94,W81(BEFIJ3(Senegal)),W82(AEHIJ3(Czechia)),alt,Senegal (78%),1867,58,1733,25,212,69,G|France:-10 > G|Norway:-5 > Germany:-11,G|Mexico:-3 > Switzerland:-5
M94,W81(BEFIJ3(Senegal)),W82(G1(Iran)),alt,Senegal (73%),1867,58,1764,52,212,185,G|France:-10 > G|Norway:-5 > Germany:-11,G|Belgium:-3 > France:-19

M95,W86(J1(Argentina)),W88(D2(Paraguay)),predicted,Argentina (88%),2113,40,1832,5,22,35,G|Austria:-3 > Uruguay:0,G|Turkey:-4 > Iran:0
M95,W86(J1(Argentina)),W88(G2(Iran)),alt,Argentina (91%),2113,40,1764,52,22,185,G|Austria:-3 > Uruguay:0,G|Belgium:-3 > France:-19
M95,W86(J1(Argentina)),W88(G2(Belgium)),alt,Argentina (80%),2113,40,1888,58,22,0,G|Austria:-3 > Uruguay:0,Czechia:0
M95,W86(J1(Argentina)),W88(G2(Egypt)),alt,Argentina (92%),2113,40,1699,68,22,185,G|Austria:-3 > Uruguay:0,G|Belgium:-3 > France:-19
M95,W86(J1(Argentina)),W88(D2(Australia)),alt,Argentina (92%),2113,40,1774,58,22,124,G|Austria:-3 > Uruguay:0,G|Turkey:-4 > Germany:-11
M95,W86(H2(Uruguay)),W88(D2(Paraguay)),alt,Paraguay (53%),1892,10,1832,5,267,35,G|Spain:-12 > Argentina:-20,G|Turkey:-4 > Iran:0
M95,W86(H2(Uruguay)),W88(G2(Iran)),alt,Uruguay (54%),1892,10,1764,52,267,185,G|Spain:-12 > Argentina:-20,G|Belgium:-3 > France:-19
M95,W86(H2(Uruguay)),W88(G2(Belgium)),alt,Belgium (68%),1892,10,1888,58,267,0,G|Spain:-12 > Argentina:-20,Czechia:0
M95,W86(H2(Uruguay)),W88(G2(Egypt)),alt,Uruguay (59%),1892,10,1699,68,267,185,G|Spain:-12 > Argentina:-20,G|Belgium:-3 > France:-19
M95,W86(H2(Uruguay)),W88(D2(Australia)),alt,Uruguay (58%),1892,10,1774,58,267,124,G|Spain:-12 > Argentina:-20,G|Turkey:-4 > Germany:-11

M96,W87(K1(Portugal)),W85(B1(Switzerland)),predicted,Portugal (66%),1984,51,1894,60,31,8,G|Colombia:-4 > Panama:0,G|Canada:-1 > Algeria:0
M96,W87(K1(Portugal)),W85(EFGIJ3(Algeria)),alt,Portugal (84%),1984,51,1743,64,31,209,G|Colombia:-4 > Panama:0,G|Argentina:-10 > G|Austria:-3 > England:-12
M96,W87(K1(Portugal)),W85(B1(Canada)),alt,Portugal (73%),1984,51,1793,0,31,21,G|Colombia:-4 > Panama:0,G|Switzerland:-3 > South Korea:0
M96,W87(DEIJL3(Panama)),W85(B1(Switzerland)),alt,Switzerland (75%),1733,55,1894,60,172,8,G|England:-6 > G|Croatia:-2 > Portugal:-12,G|Canada:-1 > Algeria:0
M96,W87(DEIJL3(Panama)),W85(EFGIJ3(Algeria)),alt,Algeria (52%),1733,55,1743,64,172,209,G|England:-6 > G|Croatia:-2 > Portugal:-12,G|Argentina:-10 > G|Austria:-3 > England:-12
M96,W87(DEIJL3(Panama)),W85(B1(Canada)),alt,Canada (69%),1733,55,1793,0,172,21,G|England:-6 > G|Croatia:-2 > Portugal:-12,G|Switzerland:-3 > South Korea:0
M96,W87(K1(Colombia)),W85(B1(Switzerland)),alt,Colombia (55%),1977,10,1894,60,89,8,G|Portugal:-6 > Croatia:-5,G|Canada:-1 > Algeria:0
M96,W87(K1(Colombia)),W85(EFGIJ3(Algeria)),alt,Colombia (76%),1977,10,1743,64,89,209,G|Portugal:-6 > Croatia:-5,G|Argentina:-10 > G|Austria:-3 > England:-12
M96,W87(K1(Colombia)),W85(B1(Canada)),alt,Colombia (62%),1977,10,1793,0,89,21,G|Portugal:-6 > Croatia:-5,G|Switzerland:-3 > South Korea:0

