group,team,position,finish
A,Italy,1,champion
A,Wales,2,last_16
A,Switzerland,3,quarter_final
A,Turkey,4,group_stage
B,Belgium,1,quarter_final
B,Denmark,2,semi_final
B,Finland,3,group_stage
B,Russia,4,group_stage
C,Netherlands,1,last_16
C,Austria,2,last_16
C,Ukraine,3,quarter_final
C,North Macedonia,4,group_stage
D,England,1,runner_up
D,Croatia,2,last_16
D,Czechia,3,quarter_final
D,Scotland,4,group_stage
E,Sweden,1,last_16
E,Spain,2,semi_final
E,Slovakia,3,group_stage
E,Poland,4,group_stage
F,France,1,last_16
F,Germany,2,last_16
F,Portugal,3,last_16
F,Hungary,4,group_stage
