tournament,scoreline,predicted_frequency,actual_frequency
world_cup_2022,0-0,0.0709,0.1250
world_cup_2022,1-0,0.1216,0.0833
world_cup_2022,0-1,0.0642,0.1042
world_cup_2022,1-1,0.1048,0.0625
world_cup_2022,2-0,0.1087,0.1875
world_cup_2022,0-2,0.0322,0.0417
world_cup_2022,2-1,0.0889,0.0417
world_cup_2022,1-2,0.0509,0.1250
world_cup_2022,3-0,0.0666,0.0208
world_cup_2022,0-3,0.0117,0.0000
